Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Technical language,Other Technical language, Yearly brutto salary   ,  Bonus+Stocks , Annual brutto salary one year ago(Only answer if staying in the same country) ,  Bonus+Stocks one year ago(Only answer if staying in same country) ,Vacation Days,Employment status,Contract duration,Main language ,Company size,Company type,Lost Job
24/11/2020 11:14:15,26,Male,Munich,Software Engineer,5,3,Senior,TypeScript,"Kotlin, Javascript / Typescript","€ 80,000.00","€ 5,000.00","€ 75,000.00","€ 10,000.00",30,Full-time employee,Unlimited contract,English,51-100,Product,No
24/11/2020 11:14:21,29,Male,Berlin,Software Engineer,12,6,Lead,Javascript / Typescript,"Javascript / Typescript, Docker","€ 120,000.00","€ 120,000.00","€ 100,000.00","€ 100,000.00",30,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes
24/11/2020 11:15:53,32,Male,Berlin,DevOps,5,1,Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker","€ 76,000.00","€ 5,000.00","€ 76,000.00","€ 5,000.00",30,Full-time employee,Unlimited contract,English,11-50,Startup,No
24/11/2020 11:20:49,34,Male,Berlin,Mobile Developer,11,5,Lead,kotlin,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker","€ 80,000.00","€ 80,000.00","€ 75,000.00","€ 75,000.00",28,Full-time employee,Unlimited contract,English,101-1000,Product,No
24/11/2020 11:25:03,38,Male,Berlin,Team Lead,18,4,Lead,iOS,"Swift, AWS","€ 80,000.00","€ 4,000.00","€ 80,000.00","€ 2,000.00",28,Full-time employee,Unlimited contract,English,101-1000,Product,Yes
24/11/2020 11:28:14,33,Male,Berlin,Data Scientist,5,4,Lead,Python,"Python, R, Google Cloud, Docker","€ 150,000.00","€ 80,000.00","€ 81,000.00","€ 4,000.00",24,Full-time employee,Unlimited contract,English,1000+,Product,No
24/11/2020 11:30:45,30,Male,Berlin,Software Engineer,6,3,Senior,Java,"Kotlin, AWS, Kubernetes, Docker","€ 74,000.00","€ 15,000.00","€ 54,000.00","€ 54,000.00",27,Full-time employee,Unlimited contract,English,1000+,Product,No
24/11/2020 11:37:52,34,Male,Munich,Software Engineer,13,3,Lead,.NET,".NET, SQL","€ 72,000.00","€ 72,000.00","€ 60,000.00","€ 60,000.00",30,Full-time employee,Unlimited contract,English,51-100,Product,No
24/11/2020 11:38:22,45,Male,Schleswig-Holstein,Software Engineer,26,18,Senior,C#,"C/C++, .NET, SQL","€ 93,000.00","€ 10,000.00","€ 93,000.00","€ 11,000.00",30,Full-time employee,Unlimited contract,German,1000+,Product,No
24/11/2020 11:40:45,29,Male,Munich,Software Engineer,7,3,Senior,JavaScript ,"Kotlin, Javascript / Typescript, Java / Scala, Docker","€ 80,000.00","€ 5,000.00","€ 72,000.00","€ 2,500.00",24,Full-time employee,Unlimited contract,English,1000+,Product,No
24/11/2020 11:44:02,26,Female,Munich,Data Scientist,6,2,Middle,python,"Python, C/C++, SQL, Docker","€ 60,000.00","€ 10,000.00","€ 60,000.00","€ 60,000.00",26,Full-time employee,Unlimited contract,English,1000+,Product,No
24/11/2020 11:46:16,24,Male,Berlin,Data Scientist,4,2,Senior,Python,"Python, AWS, Docker","€ 73,000.00","€ 73,000.00","€ 50,000.00","€ 50,000.00",24,Full-time employee,Unlimited contract,English,101-1000,Startup,No
24/11/2020 11:46:48,30,Male,Munich,Hardware Engineer,5,5,Senior,VHDL,Python,"€ 75,000.00","€ 10,000.00","€ 73,000.00","€ 8,000.00",30,Full-time employee,Unlimited contract,English,101-1000,Product,No
24/11/2020 11:54:32,27,Male,Munich,QA Engineer,5,1,Senior,Swift,"Kotlin, Ruby","€ 58,000.00","€ 5,800.00","€ 58,000.00",€ 101.00,30,Full-time employee,Unlimited contract,English,1000+,Product,No
